Date & time,Contact name,Contact phone,Marketing campaign,Number name,Number phone,Source type,Direction,Call status,Disposition,First time,Keyword,Referrer,Campaign,Duration,Device type,Qualified lead,Landing page,From,To
2026-07-22 13:20:00,Lead 0,+1305555100000,,Rich Investor Capital,,,Outbound,Answered,No Answer,Yes,,,,00:00,,,,+13058675309,+1305555100000
2026-07-22 13:21:00,Lead 1,+1305555100101,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555100101
2026-07-22 13:22:00,Lead 2,+1305555100202,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555100202
2026-07-22 13:23:00,Lead 3,+1305555100303,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555100303
2026-07-22 13:24:00,Lead 4,+1305555100404,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555100404
2026-07-22 13:25:00,Lead 5,+1305555100505,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555100505
2026-07-22 13:26:00,Lead 6,+1305555100606,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555100606
2026-07-22 13:27:00,Lead 7,+1305555100707,,Rich Investor Capital,,,Outbound,Answered,No Answer,Yes,,,,00:00,,,,+13058675309,+1305555100707
2026-07-22 13:28:00,Lead 8,+1305555100808,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555100808
2026-07-22 13:29:00,Lead 9,+1305555100909,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555100909
2026-07-22 13:30:00,Lead 10,+1305555101010,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555101010
2026-07-22 13:31:00,Lead 11,+1305555101111,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555101111
2026-07-22 13:32:00,Lead 12,+1305555101212,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555101212
2026-07-22 13:33:00,Lead 13,+1305555101313,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555101313
2026-07-22 13:34:00,Lead 14,+1305555101414,,Rich Investor Capital,,,Outbound,Answered,No Answer,Yes,,,,00:00,,,,+13058675309,+1305555101414
2026-07-22 13:35:00,Lead 15,+1305555101515,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555101515
2026-07-22 13:36:00,Lead 16,+1305555101616,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555101616
2026-07-22 13:37:00,Lead 17,+1305555101717,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555101717
2026-07-22 13:38:00,Lead 18,+1305555101818,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555101818
2026-07-22 13:39:00,Lead 19,+1305555101919,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555101919
2026-07-22 13:40:00,Lead 20,+1305555102020,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555102020
2026-07-22 13:41:00,Lead 21,+1305555102121,,Rich Investor Capital,,,Outbound,Answered,No Answer,Yes,,,,00:00,,,,+13058675309,+1305555102121
2026-07-22 13:42:00,Lead 22,+1305555102222,,Rich Investor Capital,,,Outbound,Answered,No Answer,No,,,,00:00,,,,+13058675309,+1305555102222
